('kin', 'wtspc'): 583
('la', 'ni'): 1144
('sa', 'ma'): 206
('ma', 'nizm'): 5
('nizm', 'wtspc'): 29
('wtspc', 'et'): 2341
('et', 'ki'): 675
('ki', 'le'): 450
('go', 'rul'): 180
('rul', 'du'): 189
('ka', 'le'): 267
('le', 'me'): 651
('a', 'lin'): 204
('lin', 'mis'): 58
('gol', 'la'): 47
('rin', 'wtspc'): 4325
('wtspc', 'giz'): 54
('giz', 'li'): 49
('wtspc', 'ad'): 722
('ad', 'li'): 305
('e', 'se'): 123
('se', 're'): 33
('re', 'wtspc'): 3244
('go', 're'): 1013
('han', 'dan'): 4
('wtspc', 'ne'): 1098
('ne', 'sil'): 26
('sil', 'wtspc'): 368
('on', 'ce'): 569
('ce', 'wtspc'): 2292
('sa', 'yan'): 168
('yan', 'wtspc'): 1222
('a', 'lan'): 723
('lan', 'go'): 4
('go', 'ya'): 5
('so', 'yu'): 16
('yu', 'nun'): 42
('ne', 'vi'): 38
('vi', 'wtspc'): 377
('an', 'ne'): 97
('e', 'dil'): 646
('bgnsntnc', 'mo'): 142
('ri', 'hin'): 430
('hin', 'de'): 407
('ne', 'ye'): 78
('ye', 'wtspc'): 2628
('wtspc', 'dul'): 7
('dul', 'wtspc'): 26
('wtspc', 'kal'): 538
('kal', 'dik'): 11
('dik', 'tan'): 66
('wtspc', 'ev'): 540
('ev', 'len'): 63
('len', 'me'): 337
('me', 'di'): 205
('hal', 'de'): 53
('wtspc', 'uc'): 532
('uc', 'wtspc'): 340
('og', 'lu'): 103
('mus', 'tur'): 999
('tur', 'endsntnc'): 1182
('wtspc', 'men'): 112
('men', 'sup'): 28
('sup', 'wtspc'): 23
('wtspc', 'bor'): 40
('bor', 'ci'): 3
('ci', 'gin'): 12
('gin', 'ler'): 3
('bu', 'wtspc'): 4809
('cuk', 'lar'): 47
('wtspc', 'bo'): 1105
('bo', 'don'): 1
('don', 'car'): 1
('car', 'wtspc'): 39
('ku', 'cuk'): 396
('cuk', 'wtspc'): 479
('ni', 'nin'): 220
('so', 'yun'): 37
