('wtspc', 'bag'): 0.001585324115271408
('bag', 'li'): 0.46308724832214765
('li', 'wtspc'): 0.43397254303769883
('or', 'du'): 0.09459936463113307
('du', 'wtspc'): 0.06359275878075198
('wtspc', 'mey'): 0.000640700937778082
('mey', 'da'): 0.6796875
('da', 'na'): 0.00868492023586415
('na', 'wtspc'): 0.5647275235686364
('ge', 'ti'): 0.03194287861706126
('ti', 'ren'): 0.010223431445296397
('ren', 'wtspc'): 0.604261796042618
('ha', 'nin'): 0.023318872017353578
('as', 'ker'): 0.260431654676259
('ker', 'wtspc'): 0.44919786096256686
('wtspc', 'un'): 0.0010130741323841467
('un', 'wtspc'): 0.13212435233160622
('ka', 'zan'): 0.03295843520782396
('zan', 'ma'): 0.10685483870967742
('ma', 'si'): 0.17770871592032772
('si', 'nin'): 0.0668738116217595
('te', 'me'): 0.01555390963919162
('me', 'lin'): 0.0024110910186859553
('lin', 'de'): 0.14945807187678267
('du', 'gu'): 0.2495745010057249
('gu', 'wtspc'): 0.3785357737104825
('wtspc', 'pos'): 9.035526045588335e-05
('pos', 'ta'): 0.8273381294964028
('ca', 'sus'): 0.0018135654697134566
('sus', 'wtspc'): 0.375
('a', 'gi'): 0.0023666092943201377
('wtspc', 'is'): 0.005311794099527688
('is', 'tih'): 0.012263668880940215
('tih', 'ba'): 0.1774193548387097
('ba', 'rat'): 0.001937608990505716
('rat', 'wtspc'): 0.4834710743801653
('wtspc', 'sa'): 0.012334862071325895
('sa', 'na'): 0.020778460637986537
('na', 'ti'): 0.007243044378017935
('ti', 'na'): 0.01665429961249897
('wtspc', 'ver'): 0.0017578205215962764
('ver', 'di'): 0.21960414703110273
('di', 'gi'): 0.13743001866169022
('de', 'ger'): 0.012061248527679622
('ger', 'wtspc'): 0.5784518828451883
('o', 'nem'): 0.05255066387141859
('nem', 'li'): 0.5258358662613982
('wtspc', 'yer'): 0.003649804914778561
('yer', 'wtspc'): 0.5789849892780558
('wtspc', 'tu'): 0.002562803751112328
('tu', 'tar'): 0.014864010120177103
('tar', 'endsntnc'): 0.052348993288590606
('bgnsntnc', 'se'): 0.0048449612403100775
('fer', 'le'): 0.05621301775147929
('wtspc', 'pek'): 0.0005311794099527689
('pek', 'wtspc'): 0.8725868725868726
('wtspc', 'cok'): 0.003285645834759395
('cok', 'wtspc'): 0.955316742081448
('se', 'hir'): 0.03755588673621461
('wtspc', 'tah'): 0.0005147511807789719
('tah', 'rip'): 0.0963302752293578
('rip', 'wtspc'): 0.7435897435897436
('wtspc', 'ol'): 0.012269149154630708
('ol', 'mus'): 0.12247614821388951
('mus', 'wtspc'): 0.24248599083036168
('wtspc', 'mil'): 0.0016373468409884317
('mil', 'yon'): 0.2682926829268293
('yon', 'lar'): 0.08264984227129338
('lar', 'ca'): 0.010084661354581673
('wtspc', 'in'): 0.004473954411664043
('in', 'san'): 0.30669034931912376
('wtspc', 'kat'): 0.0007447463892121296
('kat', 'le'): 0.019525801952580194
('le', 'dil'): 0.0003201152414869353
('dil', 'mis'): 0.13974287311347122
('mis', 'ti'): 0.05489659367396594
('an', 'cak'): 0.2527910685805423
('cak', 'wtspc'): 0.7696234843650287
('ya', 'sa'): 0.060665930617700044
('sa', 'si'): 0.011803726465710663
('a', 'di'): 0.03843947217441193
('me', 'tin'): 0.012658227848101266
('tin', 'les'): 0.0014316392269148174
('ku', 'ral'): 0.03388479170819215
('ral', 'lar'): 0.05698778833107191
('is', 'ken'): 0.004087889626980072
('ken', 'ce'): 0.004162812210915819
('ce', 'yi'): 0.0040456581418870105
('yi', 'wtspc'): 0.31925239325330496
('ya', 'sak'): 0.00424196641292347
('sak', 'la'): 0.2140221402214022
('la', 'yip'): 0.0014970557902791177
('yip', 'wtspc'): 0.8974358974358975
('wtspc', 'za'): 0.003397905400780341
('za', 'n'): 0.004472605292582929
('n', 'aat'): 0.013415892672858616
('aat', 'kar'): 0.03164556962025317
('kar', 'lar'): 0.0084985835694051
('wtspc', 'dok'): 0.00017523444452050105
('dok', 'tor'): 0.30952380952380953
('tor', 'lar'): 0.024232633279483037
('wtspc', 'bel'): 0.001089739201861866
('bel', 'li'): 0.219959266802444
('wtspc', 'bil'): 0.002436853994113218
('bil', 'gi'): 0.5247776365946633
('wtspc', 'be'): 0.005500718735026354
('be', 'ce'): 0.0076726342710997444
('ce', 'ri'): 0.04204594711746858
('ri', 'si'): 0.028530495292672944
('o', 'lan'): 0.14807826694619147
('lan', 'wtspc'): 0.5887457627118644
('e', 'gi'): 0.05654305853509041
('gi', 'tim'): 0.01727895392278954
